id,tasker_id,skill_name,experience_years,created_at
aa5e8400-e29b-41d4-a716-446655440001,770e8400-e29b-41d4-a716-446655440001,Plumbing,10,2024-01-16 08:30:00
aa5e8400-e29b-41d4-a716-446655440002,770e8400-e29b-41d4-a716-446655440001,Electrical Work,10,2024-01-16 08:30:00
aa5e8400-e29b-41d4-a716-446655440003,770e8400-e29b-41d4-a716-446655440001,Carpentry,8,2024-01-16 08:30:00
aa5e8400-e29b-41d4-a716-446655440004,770e8400-e29b-41d4-a716-446655440002,House Cleaning,8,2024-01-18 10:30:00
aa5e8400-e29b-41d4-a716-446655440005,770e8400-e29b-41d4-a716-446655440002,Office Cleaning,8,2024-01-18 10:30:00
aa5e8400-e29b-41d4-a716-446655440006,770e8400-e29b-41d4-a716-446655440002,Deep Cleaning,6,2024-01-18 10:30:00
aa5e8400-e29b-41d4-a716-446655440007,770e8400-e29b-41d4-a716-446655440003,Carpentry,6,2024-01-20 07:30:00
aa5e8400-e29b-41d4-a716-446655440008,770e8400-e29b-41d4-a716-446655440003,Furniture Making,6,2024-01-20 07:30:00
aa5e8400-e29b-41d4-a716-446655440009,770e8400-e29b-41d4-a716-446655440004,Mathematics Tutoring,5,2024-01-22 09:30:00
aa5e8400-e29b-41d4-a716-446655440010,770e8400-e29b-41d4-a716-446655440004,Science Tutoring,5,2024-01-22 09:30:00
aa5e8400-e29b-41d4-a716-446655440011,770e8400-e29b-41d4-a716-446655440005,Delivery,7,2024-01-24 08:30:00
aa5e8400-e29b-41d4-a716-446655440012,770e8400-e29b-41d4-a716-446655440005,Moving,7,2024-01-24 08:30:00
aa5e8400-e29b-41d4-a716-446655440013,770e8400-e29b-41d4-a716-446655440006,Web Development,4,2024-01-26 10:30:00
aa5e8400-e29b-41d4-a716-446655440014,770e8400-e29b-41d4-a716-446655440006,Graphic Design,4,2024-01-26 10:30:00
aa5e8400-e29b-41d4-a716-446655440015,770e8400-e29b-41d4-a716-446655440007,Painting,9,2024-01-28 09:30:00
aa5e8400-e29b-41d4-a716-446655440016,770e8400-e29b-41d4-a716-446655440007,Wall Finishing,9,2024-01-28 09:30:00
